,Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
0,Ali,2001,R,25 Dec 2001,157 min,65,6.8,"91,630",tt0248667,"$58,183,966"
0,50-50,2011,N/A,N/A,15 min,N/A,6.1,34,tt1833204,N/A
0,Amadeus,1984,R,19 Sep 1984,160 min,88,8.3,"357,893",tt0086879,N/A
0,42,2013,PG-13,12 Apr 2013,128 min,62,7.5,"81,222",tt0453562,"$95,001,343"
0,Walking Tall,2004,PG-13,02 Apr 2004,86 min,44,6.3,"69,155",tt0351977,"$45,860,039"
0,Affliction,1997,R,19 Feb 1999,114 min,79,7.0,"14,661",tt0118564,N/A
0,12 and Holding,2005,R,07 Jul 2006,94 min,65,7.5,"6,623",tt0417385,N/A
0,Very Bad Things,1998,R,25 Nov 1998,100 min,31,6.4,"44,249",tt0124198,N/A
0,Zero Dark Thirty,2012,R,11 Jan 2013,157 min,95,7.4,"264,319",tt1790885,"$95,720,716"
0,Wild Things,1998,R,20 Mar 1998,108 min,52,6.5,"105,203",tt0120890,N/A
0,Wall Street,1987,R,11 Dec 1987,126 min,56,7.4,"139,830",tt0094291,N/A
0,We Own the Night,2007,R,12 Oct 2007,117 min,59,6.8,"83,351",tt0498399,"$27,600,000"
0,Wanted,2008,R,27 Jun 2008,110 min,64,6.7,"353,077",tt0493464,"$134,294,280"
0,While She Was Out,2008,R,26 Mar 2009,86 min,40,4.8,"6,285",tt0887971,N/A
0,Ticker,2001,R,23 Jun 2001,92 min,N/A,3.6,"6,489",tt0196158,N/A
0,Traffic,2000,R,05 Jan 2001,147 min,86,7.6,"192,068",tt0181865,"$123,836,420"
0,Phone Booth,2002,R,04 Apr 2003,81 min,56,7.0,"246,069",tt0183649,"$46,524,362"
0,Shifty,2008,Unrated,24 Apr 2009,85 min,N/A,6.5,"2,826",tt1104126,N/A
0,Single White Female,1992,R,14 Aug 1992,107 min,63,6.4,"31,211",tt0105414,N/A
0,Spare Me,1994,N/A,03 Sep 1994,N/A,N/A,6.7,27,tt0108200,N/A
0,Taxi Driver,1976,R,09 Feb 1976,114 min,94,8.3,"695,384",tt0075314,N/A
0,Year One,2009,PG-13,19 Jun 2009,97 min,34,4.9,"90,154",tt1045778,"$43,337,279"
0,White Squall,1996,PG-13,02 Feb 1996,129 min,53,6.6,"20,658",tt0118158,N/A
0,The Long Way Back: The Story of Todd Z-Man Zalkins,2017,Not Rated,N/A,90 min,N/A,8.0,23,tt6573720,N/A
0,xXx,2002,PG-13,09 Aug 2002,124 min,48,5.9,"171,012",tt0295701,"$141,134,092"
0,Tomorrow Never Dies,1997,PG-13,19 Dec 1997,119 min,52,6.5,"176,993",tt0120347,N/A
0,The World Is Not Enough: The Hong Kong Press Conference,2006,N/A,17 Jul 2006,10 min,N/A,5.6,9,tt0828400,N/A
0,War for the Planet of the Apes,2017,PG-13,14 Jul 2017,140 min,82,7.4,"220,013",tt3450958,"$146,872,826"
0,Thunderbirds,2004,PG,30 Jul 2004,95 min,36,4.2,"12,891",tt0167456,"$6,768,055"
0,Thelma & Louise,1991,R,24 May 1991,130 min,88,7.5,"131,689",tt0103074,N/A
0,Someone to Watch Over Me,1987,R,09 Oct 1987,106 min,55,6.1,"9,057",tt0094008,N/A
0,Thor: Ragnarok,2017,PG-13,03 Nov 2017,130 min,74,7.9,"555,646",tt3501632,"$314,971,245"
0,Wild Hogs,2007,PG-13,02 Mar 2007,100 min,27,5.8,"112,516",tt0486946,"$168,213,584"
0,Sting: The Brand New Day Tour - Live from the Universal Amphitheatre,2000,N/A,N/A,88 min,N/A,7.6,113,tt0271804,N/A
0,Snatch,2000,R,19 Jan 2001,102 min,55,8.3,"760,412",tt0208092,"$30,093,107"
0,Spartan,2004,R,12 Mar 2004,106 min,60,6.5,"28,734",tt0360009,"$4,291,858"
0,Shallow Grave,1994,R,10 Feb 1995,89 min,67,7.3,"55,486",tt0111149,N/A
0,Sicario,2015,R,02 Oct 2015,121 min,82,7.6,"356,809",tt3397884,N/A
0,Rush Hour,1998,PG-13,18 Sep 1998,98 min,60,7.0,"232,877",tt0120812,N/A
0,Reservoir Dogs,1992,R,02 Sep 1992,99 min,79,8.3,"888,475",tt0105236,N/A
0,Rush Hour 2,2001,PG-13,03 Aug 2001,90 min,48,6.6,"194,706",tt0266915,N/A
0,Ronin,1998,R,25 Sep 1998,122 min,67,7.3,"168,282",tt0122690,N/A
0,RocknRolla,2008,R,31 Oct 2008,114 min,53,7.3,"229,434",tt1032755,"$5,665,302"
0,Reindeer Games,2000,R,25 Feb 2000,104 min,37,5.8,"36,767",tt0184858,N/A
0,Smokin' Aces,2006,R,26 Jan 2007,108 min,45,6.7,"135,631",tt0475394,"$35,600,000"
0,Scarface,1983,R,09 Dec 1983,170 min,65,8.3,"711,819",tt0086250,"$656,161"
0,Pineapple Express,2008,R,06 Aug 2008,111 min,64,6.9,"308,770",tt0910936,N/A
0,Panic Room,2002,R,29 Mar 2002,112 min,65,6.8,"250,791",tt0258000,"$95,308,367"
0,Observe and Report,2009,R,10 Apr 2009,86 min,54,5.8,"59,971",tt1197628,"$23,993,605"
0,Mini's First Time,2006,R,09 Aug 2007,91 min,45,5.8,"7,915",tt0425253,"$21,828"
0,Only God Forgives,2013,R,22 May 2013,90 min,37,5.7,"105,083",tt1602613,"$700,000"
