Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Right_Film,Genre,A,B,D,F,S
Newsies,1992,PG,10 Apr 1992,121 min,46,7.0,"18,094",tt0104990,N/A,Newsies,Musical,0,0,2,0,0
Nine,2009,PG-13,25 Dec 2009,118 min,49,5.8,"41,873",tt0875034,"$19,628,665",Nine,Musical,2,0,0,0,0
Omega Man,1971,PG,01 Aug 1971,98 min,56,6.5,"28,013",tt0067525,N/A,Omega Man,Sci-Fi,0,0,0,0,0
Orphan,2009,R,24 Jul 2009,123 min,42,6.9,"186,072",tt1148204,"$41,472,886",Orphan,Mystery,1,3,3,8,8
Pirates of the Caribbean,2003,PG-13,09 Jul 2003,143 min,63,8.0,"997,584",tt0325980,"$305,343,252",Pirates of the Caribbean,Adventure,0,0,5,0,0
Pokemon: Mewtwo Returns,2000,Not Rated,04 Dec 2001,63 min,N/A,6.5,"3,164",tt0304564,N/A,Pokemon: Mewtwo Returns,Family,0,0,0,0,0
Roughshod,1949,PASSED,11 May 1949,88 min,N/A,6.7,293,tt0041827,N/A,Roughshod,Western,0,0,0,0,0
Sister Act,1992,PG,29 May 1992,100 min,51,6.4,"84,843",tt0105417,"$139,605,150",Sister Act,Musical,4,3,6,1,0
Star Wars: The Force Awakens,2015,N/A,14 Dec 2015,108 min,N/A,7.8,5,tt7768640,N/A,Star Wars: The Force Awakens,Fantasy,0,0,2,0,0
Sweeney Todd: The Demon Barber of Fleet Street,2007,R,21 Dec 2007,116 min,83,7.3,"335,791",tt0408236,"$52,900,000",Sweeney Todd: The Demon Barber of Fleet Street,Musical,0,1,1,0,2
The Abyss,1989,PG-13,09 Aug 1989,171 min,62,7.6,"158,749",tt0096754,N/A,The Abyss,Sci-Fi,5,9,18,0,15
The Addams Family,1991,PG-13,22 Nov 1991,99 min,57,6.9,"125,986",tt0101272,N/A,The Addams Family,Horror,0,0,3,0,0
The Adjustment Bureau,2011,PG-13,04 Mar 2011,106 min,60,7.0,"237,960",tt1385826,"$62,453,315",The Adjustment Bureau,Sci-Fi,1,1,0,2,9
The American,2010,R,01 Sep 2010,105 min,61,6.3,"90,090",tt1440728,"$35,596,227",The American,Thriller,0,3,1,8,6
The American President,1995,PG-13,17 Nov 1995,114 min,67,6.8,"50,337",tt0112346,N/A,The American President,Romance,6,1,10,3,6
The Amityville Asylum,2013,N/A,03 Jun 2013,88 min,N/A,2.6,"1,217",tt2216212,N/A,The Amityville Asylum,Horror,0,5,5,37,11
The Anniversary Party,2001,R,29 Jun 2001,115 min,56,6.3,"7,903",tt0254099,"$2,974,308",The Anniversary Party,Drama,2,3,13,65,18
The Apartment,1960,Not Rated,16 Sep 1960,125 min,94,8.3,"157,267",tt0053604,N/A,The Apartment,Comedy,0,0,2,0,0
The Artist,2011,PG-13,20 Jan 2012,100 min,89,7.9,"226,087",tt1655442,"$44,667,095",The Artist,Romance,1,0,1,0,0
The Assignment,1997,R,26 Sep 1997,115 min,N/A,6.9,"8,568",tt0118647,N/A,The Assignment,Thriller,10,7,3,44,23
The Avengers,2012,PG-13,04 May 2012,143 min,69,8.0,"1,234,641",tt0848228,"$623,279,547",The Avengers,Adventure,0,0,2,1,0
The Bachelor Party,1957,Approved,10 Apr 1957,92 min,N/A,6.9,547,tt0050156,N/A,The Bachelor Party,Drama,0,0,0,0,0
The Back-up Plan,2010,PG-13,23 Apr 2010,104 min,34,5.4,"47,608",tt1212436,"$37,481,242",The Back-up Plan,Romance,15,2,1,17,11
The Battle of Algiers,1966,Not Rated,20 Sep 1967,121 min,96,8.1,"50,366",tt0058946,"$55,908",The Battle of Algiers,War,0,1,0,0,1
The Battle of Shaker Heights,2003,PG-13,22 Aug 2003,79 min,33,6.0,"4,162",tt0357470,N/A,The Battle of Shaker Heights,Romance,2,2,5,19,7
The Beach,2000,R,11 Feb 2000,119 min,43,6.7,"218,068",tt0163978,N/A,The Beach,Thriller,0,0,0,0,0
