Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,Genre,S
The Help,2011,PG-13,10-Aug-11,146 min,62,8.1,"417,090",tt1454029,"$169,705,587 ",1,0,9,0,Drama,7
The Hills Have Eyes,2006,R,10-Mar-06,107 min,52,6.4,"155,070",tt0454841,"$41,685,824 ",1,3,1,7,Horror,3
The Hitchhiker's Guide to the Galaxy,2005,PG,29-Apr-05,109 min,63,6.8,"183,411",tt0371724,"$51,019,112 ",2,0,2,0,Sci-Fi,1
The Horse Whisperer,1998,PG-13,15-May-98,169 min,65,6.6,"38,203",tt0119314,N/A,1,0,4,1,Romance,8
The Hospital,1971,PG-13,11-May-72,103 min,72,7.2,"5,068",tt0067217,N/A,5,13,5,1,Comedy,1
The Hudsucker Proxy,1994,PG,11-Mar-94,111 min,53,7.2,"75,407",tt0110074,N/A,1,0,3,0,Romance,0
The Hunt for Red October,1990,PG,2-Mar-90,135 min,58,7.6,"173,146",tt0099810,N/A,3,0,6,3,Thriller,1
The Hurt Locker,2008,R,31-Jul-09,131 min,95,7.6,"411,366",tt0887912,"$15,700,000 ",1,1,7,34,Thriller,17
The Ice Storm,1997,R,26-Nov-97,112 min,72,7.4,"52,562",tt0119349,N/A,3,0,4,3,Drama,18
The Ides of March,2011,R,7-Oct-11,101 min,67,7.1,"211,650",tt1124035,"$40,962,534 ",4,0,3,56,Drama,21
The Imaginarium of Doctor Parnassus,2009,PG-13,8-Jan-10,123 min,65,6.8,"142,268",tt1054606,"$7,504,196 ",0,3,2,1,Mystery,1
The Incredibles,2004,PG,5-Nov-04,115 min,90,8,"638,792",tt0317705,N/A,0,0,0,0,Sci-Fi,0
The Informant,1997,R,2-Jan-98,105 min,N/A,6.5,553,tt0119368,N/A,0,0,8,12,Thriller,8
The Insider,1999,R,5-Nov-99,157 min,84,7.8,"156,203",tt0140352,N/A,4,0,4,34,Thriller,11
The Invention of Lying,2009,PG-13,2-Oct-09,100 min,58,6.4,"119,508",tt1058017,"$18,439,082 ",7,3,3,21,Comedy,8
The Iron Lady,2011,PG-13,13-Jan-12,105 min,54,6.4,"100,501",tt1007029,"$29,959,436 ",0,0,2,0,Drama,0
The Island,2005,PG-13,22-Jul-05,136 min,50,6.8,"296,205",tt0399201,"$35,800,000 ",4,0,1,20,Sci-Fi,4
The Italian Job,2003,PG-13,30-May-03,111 min,68,7,"335,751",tt0317740,"$105,996,316 ",4,2,4,7,Adventure,16
The Jacket,2005,R,4-Mar-05,103 min,44,7.1,"106,917",tt0366627,"$6,282,106 ",0,0,4,18,Fantasy,10
The Kids Are All Right,2010,R,30-Jul-10,106 min,86,7,"123,986",tt0842926,"$20,803,237 ",14,2,0,30,Comedy,10
The King of Comedy,1982,PG,18-Dec-82,109 min,73,7.8,"82,247",tt0085794,N/A,1,0,3,0,Crime,2
The King's Speech,2010,R,25-Dec-10,118 min,88,8,"622,890",tt1504320,"$138,300,000 ",0,0,6,10,Drama,7
The Kingdom,2007,R,28-Sep-07,110 min,56,7,"115,496",tt0431197,"$47,456,450 ",3,0,1,12,Thriller,6
The LEGO Movie,2014,PG,7-Feb-14,100 min,83,7.7,"317,777",tt1490017,"$244,870,202 ",2,0,0,0,Animation,0
The Ladykillers,2004,R,26-Mar-04,104 min,56,6.2,"97,415",tt0335245,N/A,21,7,17,73,Crime,19
The Last Boy Scout,1991,R,13-Dec-91,105 min,52,7,"90,346",tt0102266,N/A,24,22,16,143,Thriller,62
The Last Flight,1931,Passed,29-Aug-31,76 min,N/A,6.8,"1,199",tt0022054,N/A,0,0,0,0,Drama,0
The Last Samurai,2003,R,5-Dec-03,154 min,55,7.7,"388,736",tt0325710,"$111,000,000 ",2,1,4,2,War,3
The Last Station,2009,R,26-Feb-10,112 min,76,7,"17,516",tt0824758,"$6,500,000 ",0,1,2,0,Drama,0
The Last of the Mohicans,1992,R,25-Sep-92,112 min,76,7.7,"144,556",tt0104691,N/A,0,0,2,0,War,0
The Life of David Gale,2003,R,21-Feb-03,130 min,31,7.6,"106,438",tt0289992,"$19,593,740 ",0,0,6,32,Thriller,12
The Limey,1999,R,4-Aug-99,89 min,73,7,"29,323",tt0165854,N/A,6,1,0,33,Crime,12
The Lincoln Lawyer,2011,R,18-Mar-11,118 min,63,7.3,"207,931",tt1189340,"$57,900,000 ",4,6,2,13,Thriller,23
The Little Mermaid,1989,G,17-Nov-89,83 min,88,7.6,"229,325",tt0097757,N/A,0,0,0,0,Musical,0
The Long Kiss Goodnight,1996,R,11-Oct-96,121 min,44,6.8,"70,875",tt0116908,N/A,16,13,13,97,Thriller,20
The Losers,2010,PG-13,23-Apr-10,97 min,44,6.3,"88,865",tt0480255,"$23,400,000 ",5,0,7,4,Mystery,27
